artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
TOOL,Jimmy,09KJ3XQZ9RQ5prbSp59Wbc,54,0.00746,0.477,324427,0.688,0.211,7,0.131,-8.256,0,0.0373,126.291,3,0.455
TOOL,(-) Ions,0KCdkjFn7as5rME8dInqGQ,48,0.938,0.223,240573,0.567,0.693,9,0.323,-24.483,1,0.58,127.091,4,0.0301
TOOL,Eulogy,0RVFjx2HwbHcl5SCSADpFP,57,0.00556,0.517,505147,0.646,0.783,4,0.0985,-9.059,0,0.137,165.653,4,0.361
TOOL,Ænema,0nLOl4fSiBZKGFla5pLUtf,58,0.00193,0.335,399267,0.849,0.256,0,0.0928,-6.927,1,0.319,181.701,3,0.256
TOOL,Stinkfist,0pwObEOHolQZSldJ2q1wpy,62,0.000174,0.286,312120,0.728,0.837,0,0.133,-6.608,1,0.0616,171.454,4,0.467
TOOL,Message To Harry Manback,13aTOYQ4xvj84VACPu9zur,51,0.991,0.404,113227,0.116,0.867,4,0.104,-32.727,0,0.0443,90.58,3,0.524
TOOL,Third Eye,2Dqg2mRbfIVKhBZleNrgmH,54,0.00585,0.359,831440,0.628,0.472,7,0.111,-9.685,1,0.0562,109.407,4,0.262
TOOL,Die Eier von Satan,2uzCJ4ckvFhv6F9Q1CMkys,49,0.0182,0.747,137360,0.588,0.0129,1,0.1,-7.412,1,0.0733,94.095,3,0.398
TOOL,Hooker With A Penis,3S4G4SL15Cp4CvAfmye8um,56,0.00128,0.317,273827,0.911,0.555,7,0.148,-7.363,1,0.177,123.254,4,0.274
TOOL,Pushit,4CbHM5bpfOfMNxNgVDHJRw,56,0.00051,0.354,595613,0.625,0.569,7,0.0798,-8.437,1,0.0359,119.583,3,0.175
TOOL,Intermission,56IPgOpV9w1suGl7Lu9qeZ,50,0.929,0.484,56000,0.0136,0.931,7,0.295,-26.645,0,0.0603,59.378,3,0.953
TOOL,Useful Idiot,5Ca9qZBftB2kGmuUOoJoea,51,1.18e-05,0.371,38760,0.488,0.532,10,0.445,-24.646,0,0.691,187.599,4,0.106
TOOL,H.,5fYzuUxtcaJaRRaxMoM2DT,55,0.0222,0.553,367133,0.471,0.601,2,0.125,-9.776,0,0.0371,100.322,4,0.0908
TOOL,Forty Six & 2,6AioOohg4bQZFA4jIYQQ2r,62,0.00155,0.375,363067,0.682,0.6,0,0.0897,-6.901,0,0.0364,159.231,4,0.391
TOOL,Cesaro Summability,6xttnk5U2VMVCaihaD0RPE,47,0.000799,0.342,86227,0.343,0.779,11,0.0832,-21.736,0,0.191,115.35,4,0.196
Sublime,Santeria,2hnMS47jN0etwvFPzYk11f,71,0.0268,0.682,182747,0.765,3.42e-05,1,0.188,-5.021,0,0.0395,90.807,4,0.567
Blackstreet,No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,74,0.303,0.868,304600,0.646,0.0,1,0.284,-4.674,0,0.288,88.641,4,0.67
Sublime,What I Got,3B4q6KbHbGV51HO3GznBFF,69,0.00877,0.804,170907,0.696,0.000985,7,0.314,-7.47,1,0.0899,95.721,4,0.657
2Pac,Ambitionz Az A Ridah,3ssX20QT5c3nA9wk78V1LQ,74,0.00253,0.801,278387,0.908,0.000655,2,0.0698,-6.554,1,0.221,87.279,4,0.805
